,f0,N=100,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,49.35407639000004,49.35407639,49.354076390000074,3.5706115939831735E-14,,
1.0,58.29882621999994,58.298826219999874,58.29882622,6.427100869169712E-14,,
5.0,58.85052680999988,58.85052680999976,58.85052681,1.214007941954279E-13,,
10.0,53.92776599422984,51.43377743526669,56.42175455319298,2.4939885589631423,,
15.0,43.35408693926674,34.701799642768705,52.00637423576478,8.652287296498038,,
20.0,29.98691635133882,20.09823570626044,39.8755969964172,9.888680645078379,,
25.0,21.270052046797943,13.953726992534824,28.58637710106106,7.316325054263119,,
30.0,15.622883499268085,10.17708691723292,21.06868008130325,5.4457965820351655,,
35.0,13.393250361657147,7.810323327727698,18.976177395586596,5.582927033929449,,
40.0,12.214437478612345,6.859513884039913,17.569361073184776,5.354923594572432,,
45.0,9.468157426984218,5.202363670750704,13.733951183217734,4.265793756233514,,
50.0,8.945157909926058,4.576433572137972,13.313882247714144,4.368724337788086,,
55.0,7.960757964931803,4.194967471380415,11.72654845848319,3.765790493551388,,
60.0,6.801772690001282,3.3826370228440683,10.220908357158494,3.4191356671572133,,
65.0,6.431471315950383,3.3471112240585517,9.515831407842215,3.0843600918918317,,
70.0,6.34872097034164,3.101901919869308,9.595540020813973,3.246819050472332,,
75.0,5.614369334475538,2.43488429454518,8.793854374405896,3.179485039930358,,
80.0,4.835628655577893,2.364442457558989,7.306814853596798,2.4711861980189043,,
85.0,4.797070869184671,2.198158169768805,7.395983568600537,2.5989126994158656,,
90.0,5.179393360702116,2.282818449461045,8.075968271943188,2.8965749112410712,,
95.0,4.340627153269402,2.195293451030065,6.48596085550874,2.1453337022393373,,
100.0,4.171726573448876,1.507616232349501,6.835836914548252,2.6641103410993754,,
